IATA,id,name,city,country,ICAO,latitude,longitude,altitude,timezone,dst,tz,type,source,CRIMINAL ACTORS (AVERAGE),MAFIA-STYLE GROUPS,CRIMINAL NETWORKS,STATE-EMBEDDED ACTORS,FOREIGN ACTORS,CRIMINAL MARKETS (AVERAGE),HUMAN TRAFFICKING,HUMAN SMUGGLING,ARMS TRAFFICKING,FLORA CRIMES,FAUNA CRIMES,"NON-RENEWABLE
NON-RENEWABLE RESOURCE CRIMES",HEROIN TRADE,COCAINE TRADE,CANNABIS TRADE,SYNTHETIC DRUG TRADE,RESILIENCE (AVERAGE),POLITICAL LEADERSHIP AND GOVERNANCE,GOVERNMENT TRANSPARENCY AND ACCOUNTABILITY,INTERNATIONAL COOPERATION,NATIONAL POLICIES AND LAWS,JUDICIAL SYSTEM AND DETENTION,LAW ENFORCEMENT,TERRITORIAL INTEGRITY,ANTI-MONEY LAUNDERING SYSTEMS,ECONOMIC REGULATORY CAPACITY,VICTIM AND WITNESS SUPPORT,PREVENTION,NON-STATE ACTORS,population,in_cites_2021,in_cites_2016,in_cites_2017,in_cites_2018,in_cites_2019,in_cites_2020,degree_full,between_full,close_full,eigen_full,pr_full,degree_in_full,degree_out_full,origin_count,transit_count,destination_count,seizure_count,incident_counts,binary_incident_observed,binary_origin_observed,binary_destination_observed,binary_transit_observed
OVB,4078,Tolmachevo Airport,Novosibirsk,russia,UNNT,55.01259995,82.65070343,365,7.0,N,Asia/Krasnoyarsk,airport,OurAirports,6.38,4.5,7.5,8.5,5.0,5.0,5.5,5.5,5.0,4.0,5.0,4.5,5.0,5.5,5.0,5.5,4.04,4.0,3.0,4.5,5.5,4.0,4.5,5.5,4.0,4.0,2.5,3.5,3.5,1473754,1,0,0,0,0,0,0.024327122,0.00058445,0.086987231,0.001297851,0.000377487,0.002070393,0.022256729,0,0,1,1,1,1,0,1,0
DME,4029,Domodedovo International Airport,Moscow,russia,UUDD,55.40879821777344,37.90629959106445,588,3.0,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5.0,5.0,5.5,5.5,5.0,4.0,5.0,4.5,5.0,5.5,5.0,5.5,4.04,4.0,3.0,4.5,5.5,4.0,4.5,5.5,4.0,4.0,2.5,3.5,3.5,11979529,1,0,0,0,0,0,0.096273292,0.0241143825104438,0.1138492024545611,0.0225432206613781,0.000822959,0.007763975,0.088509317,5,2,9,8,18,1,1,1,1
HTA,2935,Chita-Kadala Airport,Chita,russia,UIAA,52.026299,113.306,2272,9.0,N,Asia/Yakutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5.0,5.0,5.5,5.5,5.0,4.0,5.0,4.5,5.0,5.5,5.0,5.5,4.04,4.0,3.0,4.5,5.5,4.0,4.5,5.5,4.0,4.0,2.5,3.5,3.5,324444,1,0,0,0,0,0,0.00310559,3.14479560752181e-07,0.08683746,0.001256988,0.000275786,0.001552795,0.001552795,1,0,0,0,1,1,1,0,0
LIM,2789,Jorge Chávez International Airport,Lima,peru,SPIM,-12.0219,-77.114305,113,-5.0,U,America/Lima,airport,OurAirports,6.5,6.0,8.0,7.0,5.0,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,4.58,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5,7605742,1,1,1,1,1,0,0.0284679089026915,0.000507413,0.000517598,7.548737141238734e-26,0.000462951,0.000517598,0.0279503105590062,4,0,0,4,4,1,1,0,0
IQT,2801,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,peru,SPQT,-3.784739971,-73.30879974,306,-5.0,U,America/Lima,airport,OurAirports,6.5,6.0,8.0,7.0,5.0,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,4.58,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5,370962,1,1,1,1,1,0,0.001552795,2.680467859582083e-07,0.0531792457690537,3.736461807591976e-07,0.000570284,0.001035197,0.000517598,0,1,0,0,1,1,0,0,1
ABJ,253,Port Bouet Airport,Abidjan,cote d'ivoire,DIAP,5.261390209197998,-3.926290035,21,0.0,N,Africa/Abidjan,airport,OurAirports,6.25,3.0,7.0,7.0,8.0,6.05,6.5,6.5,7.0,6.0,6.5,7.5,3.5,5.0,6.0,6.0,4.42,4.5,4.0,6.0,4.5,5.5,5.0,4.0,5.0,3.5,3.5,3.0,4.5,3677115,1,1,1,1,1,0,0.00931677,0.0,0.0,8.998795916126649e-33,0.000246827,0.0,0.00931677,1,0,0,0,1,1,1,0,0
ACC,248,Kotoka International Airport,Accra,ghana,DGAA,5.605189800262451,-0.166786,205,0.0,N,Africa/Accra,airport,OurAirports,5.88,3.0,6.5,7.5,6.5,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.38,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0,5055900,1,0,0,0,0,0,0.0124223602484472,2.475886484744332e-05,0.000517598,2.159711019870396e-31,0.000258489,0.000517598,0.0119047619047619,5,0,0,0,5,1,1,0,0
BKO,1044,Modibo Keita International Airport,Bamako,mali,GABS,12.5335,-7.94994,1247,0.0,N,Africa/Bamako,airport,OurAirports,5.63,3.0,7.0,8.5,4.0,6.15,7.0,6.0,8.0,5.0,5.5,7.5,3.0,6.0,7.0,6.5,6.0,5.0,5.0,7.0,6.5,5.5,6.0,6.0,5.5,6.0,5.5,5.5,6.0,2713000,1,0,0,0,0,0,0.006728778,0.000515892,0.093260349,0.002925541,0.000378777,0.001552795,0.005175983,0,0,1,0,1,1,0,1,0
COO,245,Cadjehoun Airport,Cotonou,benin,DBBB,6.357230186462402,2.384350061416626,19,1.0,N,Africa/Porto-Novo,airport,OurAirports,5.25,1.0,6.0,6.0,8.0,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,3.54,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5,2401067,1,0,0,0,0,0,0.004658385,1.627777058845838e-06,0.000517598,2.159711019870396e-31,0.000258489,0.000517598,0.004140787,1,0,0,1,1,1,1,0,0
LFW,298,Lomé-Tokoin Airport,Lome,togo,DXXX,6.165609836578369,1.2545100450515747,72,0.0,N,Africa/Lome,airport,OurAirports,5.75,1.0,7.0,7.5,7.5,4.9,6.0,3.5,4.0,5.0,6.0,6.0,3.0,5.0,6.5,4.0,4.0,3.0,3.0,5.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5,837437,1,0,0,0,0,0,0.004658385,0.000110795,0.002070393,7.666974120539912e-30,0.000332169,0.002070393,0.002587992,1,0,0,0,1,1,1,0,0
