Source,Target,IWT_Volume
ADD,CAN,24
ADD,CTU,18
JNB,HKG,16
CAI,CAN,9
JNB,DOH,7
BKK,MAA,6
MAA,SIN,5
DOH,HAN,5
GEO,JFK,5
MPM,DOH,5
DXB,HKG,4
NBO,HAN,4
SAW,CAN,4
CGK,HKG,4
DOH,HKG,4
ADD,HKG,4
ADD,PEK,4
LAD,HKG,4
LIM,MAD,3
BKK,HAN,3
BKK,TAO,3
HKG,PVG,3
HKG,FOC,3
HKG,KMG,3
HKG,TAO,3
HKG,WNZ,3
HKG,HGH,3
PEN,CGK,3
SAW,HKG,3
MEX,TIJ,3
CGK,SIN,3
JNB,SIN,3
DOH,KUL,3
ADD,PVG,3
ADD,BKK,3
HRE,DXB,3
DME,HKG,2
MNL,XMN,2
MNL,TSA,2
LOS,SAW,2
DXB,HAN,2
NBO,BKK,2
NBO,CAN,2
NBO,DAR,2
NBO,DXB,2
BKK,LPQ,2
BKK,TNA,2
BKK,NNG,2
BKK,NKG,2
BKK,SWA,2
HKG,WUH,2
HKG,CAN,2
HKG,SGN,2
KIX,TAO,2
KUL,TRZ,2
PEN,CAN,2
PER,HKG,2
PNH,SZX,2
PNH,YIW,2
PNH,MFM,2
PNH,XMN,2
RGN,CKG,2
CMN,MAD,2
CMN,DOH,2
LAX,HKG,2
MEX,CJS,2
MID,MEX,2
MAD,HKG,2
FRA,CTU,2
CGK,BKK,2
MFM,XMN,2
NRT,TAO,2
JNB,SAW,2
IMF,DEL,2
KBP,YYZ,2
DOH,DME,2
MAO,GIG,2
LAD,DXB,2
LAD,BKK,2
FIH,ADD,2
FIH,NBO,2
FIH,HKG,2
BGF,NBO,2
LPQ,LHW,2
PDG,CGK,2
SUB,PEN,2
VTE,KMG,2
WDH,JNB,2
DME,LAX,1
DME,WUH,1
DME,JFK,1
ABJ,ORD,1
ACC,DXB,1
ACC,BEY,1
ACC,LIN,1
ACC,SAW,1
LFW,HKG,1
BOG,LET,1
BOG,PVA,1
MNL,CAN,1
MNL,CEB,1
MNL,HKG,1
MNL,JJN,1
MNL,JFK,1
BSB,GRU,1
GRU,REC,1
LOS,DXB,1
LOS,AUH,1
LOS,NBO,1
LOS,DOH,1
ROB,NBO,1
ROB,BRU,1
FNA,DCA,1
CKY,NBO,1
DXB,LAD,1
DXB,BKK,1
DXB,KHI,1
DXB,SGN,1
DXB,SIN,1
NBO,DZA,1
NBO,VTE,1
NBO,CSX,1
NBO,DLA,1
BKK,NRT,1
BKK,CMB,1
BKK,CAN,1
BKK,CGO,1
BKK,KIX,1
BKK,VTE,1
BKK,KMG,1
BKK,SGN,1
BKK,MNL,1
BKK,TSA,1
BKK,AJL,1
BKK,KWE,1
BKK,LYA,1
SIN,HKG,1
SIN,PNH,1
SIN,SGN,1
SIN,CMB,1
SIN,XMN,1
SIN,FCO,1
SIN,NKG,1
SIN,VTE,1
HKG,CSX,1
HKG,SYX,1
HKG,MNL,1
HKG,MFM,1
HKG,DLC,1
HKG,JJN,1
HKG,YIW,1
HKT,TNA,1
KIX,HAN,1
KIX,HKG,1
KUL,MAA,1
KUL,CGK,1
KUL,HAN,1
KUL,NNG,1
KUL,BKK,1
PEN,JOG,1
PEN,TRK,1
PER,KUL,1
PNH,ZHA,1
PNH,TNA,1
PNH,NNG,1
RGN,KMG,1
RGN,HAN,1
SGN,HAN,1
SGN,CKG,1
SGN,LAX,1
DUS,DME,1
MUC,CDG,1
MUC,HAN,1
NAP,CPH,1
TLH,FRA,1
AMS,HGH,1
AMS,HKG,1
CMN,DXB,1
BRU,HKG,1
SAW,SGN,1
SAW,HAN,1
SAW,KUL,1
SAW,NAP,1
TLS,CDG,1
PTP,BLQ,1
CAN,KUL,1
CAN,CMB,1
CAN,MAA,1
CKG,HKG,1
CGO,MFM,1
KMG,CTU,1
CSX,VTE,1
NNG,JDZ,1
PEK,DCA,1
PEK,TSN,1
PEK,TSA,1
PVG,SWA,1
SYD,HKG,1
